,food_id,flavor_name,food_name,orig_content,flavor_group,normalized
691,138,diphenyl oxide,Pine nut,1549.0,green,0.14284
697,139,diphenyl oxide,Pepper (Spice),483.0,green,0.05311
698,139,diterpene,Pepper (Spice),5350.0,green,0.5883
704,140,diphenyl oxide,Pistachio,3894.35,green,0.08902
710,140,plant,Pistachio,0.012,green,0.0
711,141,diphenyl oxide,Common pea,6319.85,green,0.10227
718,142,diphenyl oxide,Purslane,300.0,green,0.0661
726,143,diphenyl oxide,"Prunus (Cherry, Plum)",72.0,green,0.08314
733,144,diphenyl oxide,Apricot,644.75,green,0.06343
740,145,diphenyl oxide,Sweet cherry,14.0,green,0.08845
750,147,diphenyl oxide,European plum,130.25,green,0.06153
758,148,diphenyl oxide,Almond,6735.2,green,0.10402
766,148,plant,Almond,0.5262,green,1e-05
769,149,diphenyl oxide,Peach,851.9,green,0.11151
776,150,diphenyl oxide,Guava,98.0,green,0.06046
784,152,diphenyl oxide,Pear,77.75,green,0.05132
791,153,diphenyl oxide,Radish,171.5,green,0.08508
798,154,diphenyl oxide,Garden rhubarb,68.0,green,0.10685
812,158,diphenyl oxide,Watercress,816.5,green,0.09354
819,159,diphenyl oxide,Rosemary,100.0,green,0.11034
825,159,plant,Rosemary,24.86,green,0.02743
829,162,diphenyl oxide,Red raspberry,10.12805641,green,0.01649
838,164,diphenyl oxide,Sorrel,166.0,green,0.12908
845,166,diphenyl oxide,Black elderberry,255.0,green,1.0
846,169,diphenyl oxide,Rye,3216.07,green,0.07985
855,170,cookedvegetable,Sesame,0.0072,green,0.0
856,170,diphenyl oxide,Sesame,16779.9,green,0.14257
862,171,diphenyl oxide,Garden tomato,1999.0,green,0.12585
870,171,plant,Garden tomato,0.68,green,4e-05
873,172,plant,Cherry tomato,7.031666698,green,0.98152
874,173,diphenyl oxide,Garden tomato (var.),125.85,green,0.10281
881,173,plant,Garden tomato (var.),0.964571429,green,0.00079
884,174,diphenyl oxide,Eggplant,370.52,green,0.10443
895,175,diphenyl oxide,Potato,7738.84,green,0.1203
903,177,diphenyl oxide,Sorghum,531.0,green,0.09335
909,177,plant,Sorghum,1.67,green,0.00029
911,178,diphenyl oxide,Spinach,2350.3,green,0.13893
919,179,diphenyl oxide,Cloves,190.0,green,0.10083
928,182,diphenyl oxide,Cocoa bean,570.0,green,0.09803
936,183,diphenyl oxide,Common thyme,250.65,green,0.11734
940,186,diphenyl oxide,Fenugreek,1504.5,green,0.10501
948,187,diphenyl oxide,Common wheat,1655.0,green,0.09664
956,188,diphenyl oxide,"Vaccinium (Blueberry, Cranberry, Huckleberry)",101.0,green,0.09757
963,191,diphenyl oxide,Highbush blueberry,30.0,green,0.06115
972,192,diphenyl oxide,American cranberry,32.0,green,0.12478
984,197,diphenyl oxide,Broad bean,2627.75,green,0.07013
993,198,diphenyl oxide,Adzuki bean,1886.9,green,0.10019
999,199,diphenyl oxide,Gram bean,1251.0,green,0.10921
1005,200,diphenyl oxide,Mung bean,3983.6,green,0.1115
1013,204,diphenyl oxide,Common grape,58.85,green,0.05111
1022,205,diphenyl oxide,Corn,14801.35,green,0.1142
1031,206,diphenyl oxide,Ginger,369.1,green,0.0994
1042,208,diphenyl oxide,Banana,153.0,green,0.0908
1049,214,diphenyl oxide,Celeriac,54.0,green,0.08612
1056,224,diphenyl oxide,Longan,119.0,green,0.06784
1065,229,diphenyl oxide,Nectarine,21.0,green,0.10192
1072,237,diphenyl oxide,Swiss chard,208.1800982,green,0.06508
1082,241,diphenyl oxide,Welsh onion,55.0,green,0.09735
1089,242,diphenyl oxide,Hard wheat,357.0,green,0.09819
1096,243,diphenyl oxide,Shallot,428.0,green,0.10188
1105,245,cookedvegetable,Carrot,400.0,green,0.04144
1106,245,diphenyl oxide,Carrot,759.83,green,0.07872
1117,246,diphenyl oxide,Triticale,770.0,green,0.10681
1123,247,diphenyl oxide,Black cabbage,411.0,green,0.10839
1130,249,diphenyl oxide,Celery leaves,54.0,green,0.08612
1137,252,diphenyl oxide,Pak choy,147.0,green,0.08789
1144,253,diphenyl oxide,Napa cabbage,81.0,green,0.08402
1152,256,diphenyl oxide,Grapefruit,96.0,green,0.04955
1159,256,plant,Grapefruit,246.153999991,green,0.12704
1162,261,diphenyl oxide,Daikon radish,207.0,green,0.08868
1171,264,diphenyl oxide,Red beetroot,233.6,green,0.09884
1180,268,cookedvegetable,Beer,0.275236541,green,1e-05
1181,268,cypress,Beer,9.41,green,0.00022
1182,268,diphenyl oxide,Beer,335.755,green,0.00803
1195,269,diphenyl oxide,Other bread,4678.0,green,0.10302
1201,270,diphenyl oxide,Breakfast cereal,11985.0,green,0.09312
1208,272,diphenyl oxide,Other soy product,24582.0,green,0.12924
1214,274,diphenyl oxide,Pasta,12125.0,green,0.08904
1220,275,diphenyl oxide,Biscuit,15358.0,green,0.10629
1228,277,undergrowth,Spirit,0.097111109,green,0.0
1232,280,diphenyl oxide,Abalone,1174.0,green,0.10185
1239,283,diphenyl oxide,Acorn,660.0,green,0.10386
1245,284,diphenyl oxide,Winter squash,416.0,green,0.14804
1251,286,diphenyl oxide,Red king crab,1253.0,green,0.10492
1260,289,diphenyl oxide,Amaranth,1066.2,green,0.09128
1266,291,diphenyl oxide,Arrowroot,9.0,green,0.12329
1272,292,diphenyl oxide,Asian pear,4.0,green,0.04651
1278,293,diphenyl oxide,Atlantic herring,3524.0,green,0.10519
1284,294,diphenyl oxide,Atlantic mackerel,1433.0,green,0.10519
1290,295,diphenyl oxide,Painted comber,1202.0,green,0.11215
1296,296,diphenyl oxide,Atlantic pollock,1497.0,green,0.10513
1302,297,diphenyl oxide,Atlantic wolffish,2488.0,green,0.11362
1313,299,diphenyl oxide,Striped bass,1366.0,green,0.10518
1319,301,diphenyl oxide,Beech nut,172.0,green,0.08848
1325,302,diphenyl oxide,Beluga whale,1887.0,green,0.08263
1331,306,diphenyl oxide,Blue crab,2599.0,green,0.11246
1337,307,diphenyl oxide,Blue mussel,1143.0,green,0.10186
1343,308,diphenyl oxide,Northern bluefin tuna,1797.0,green,0.10517
1349,309,diphenyl oxide,Bluefish,1543.0,green,0.10513
1355,312,diphenyl oxide,Breadfruit,1450.75,green,0.12874
1361,313,diphenyl oxide,Breadnut tree seed,1073.0,green,0.19775
1367,314,diphenyl oxide,Rapini,165.0,green,0.09312
1373,317,diphenyl oxide,Burbot,1488.0,green,0.1052
1379,319,diphenyl oxide,American butterfish,1331.0,green,0.10517
1385,320,diphenyl oxide,Butternut,1970.9,green,0.13196
1391,321,diphenyl oxide,Butternut squash,235.0,green,0.14697
1399,326,diphenyl oxide,Carob,1765.0,green,0.1207
1406,327,diphenyl oxide,Common carp,1374.0,green,0.10519
1412,328,diphenyl oxide,Cassava,134.5,green,0.09148
1418,329,diphenyl oxide,Channel catfish,2917.0,green,0.10548
1424,330,diphenyl oxide,Chayote,409.5,green,0.11906
1430,331,diphenyl oxide,Cherimoya,31.0,green,0.07598
1436,332,diphenyl oxide,Chervil,394.0,green,0.11903
1442,333,diphenyl oxide,Chia,563.0,green,0.10707
1449,334,diphenyl oxide,Chicken,8690.0,green,0.13175
1454,336,diphenyl oxide,Chinese chestnut,548.0,green,0.11191
1460,339,diphenyl oxide,Cisco,1193.0,green,0.10516
1466,341,diphenyl oxide,Coconut,1947.0,green,0.11342
1472,342,diphenyl oxide,Pacific cod,1232.0,green,0.11569
1478,343,diphenyl oxide,Atlantic cod,4261.0,green,0.10518
1484,344,diphenyl oxide,Common octopus,1431.0,green,0.1018
1490,345,diphenyl oxide,Corn salad,304.0,green,0.07485
1496,346,diphenyl oxide,Cottonseed,6215.0,green,0.13072
1502,347,diphenyl oxide,Catjang pea,1297.0,green,0.11571
1508,348,diphenyl oxide,Malus (Crab apple),24.0,green,0.09125
1514,350,diphenyl oxide,Atlantic croaker,1221.0,green,0.10597
1520,351,diphenyl oxide,Cusk,1463.0,green,0.10517
1526,352,diphenyl oxide,Cuttlefish,1559.0,green,0.10184
1532,355,diphenyl oxide,Dock,233.0,green,0.11844
1539,356,diphenyl oxide,Dolphin fish,1426.0,green,0.10524
1545,357,diphenyl oxide,Freshwater drum,1351.0,green,0.10516
1551,359,diphenyl oxide,Dungeness crab,1322.0,green,0.105
1557,361,diphenyl oxide,Eastern oyster,1537.0,green,0.11455
1563,362,diphenyl oxide,Freshwater eel,1421.0,green,0.1052
1569,363,diphenyl oxide,Elderberry,305.0,green,0.26568
1577,367,diphenyl oxide,European anchovy,1662.0,green,0.10517
1583,368,diphenyl oxide,European chestnut,661.95,green,0.08855
1589,369,diphenyl oxide,Turbot,2337.0,green,0.11248
1595,371,diphenyl oxide,Florida pompano,1424.0,green,0.10522
1601,372,diphenyl oxide,Ginkgo nuts,337.5,green,0.04436
1607,374,diphenyl oxide,Grape,89.0,green,0.03945
1614,375,diphenyl oxide,Greenland halibut/turbot,1967.0,green,0.10913
1620,377,diphenyl oxide,Grouper,1493.0,green,0.10519
1626,379,diphenyl oxide,Haddock,5371.0,green,0.11275
1632,380,diphenyl oxide,Hippoglossus (Common halibut),3010.0,green,0.10712
1638,381,diphenyl oxide,Hazelnut,2018.0,green,0.11035
1644,382,diphenyl oxide,Hickory nut,454.0,green,0.12535
1650,384,diphenyl oxide,Horseradish tree,1723.5,green,0.11308
1658,386,diphenyl oxide,Hyacinth bean,2295.9,green,0.1217
1664,388,diphenyl oxide,Pacific jack mackerel,783.0,green,0.10519
1670,389,diphenyl oxide,Jackfruit,103.0,green,0.23043
1676,390,diphenyl oxide,Japanese chestnut,322.0,green,0.08006
1682,392,diphenyl oxide,Jerusalem artichoke,171.5,green,0.09676
1688,394,diphenyl oxide,Jute,1018.75,green,0.10855
1695,395,diphenyl oxide,Kale,1035.0,green,0.1095
1702,396,diphenyl oxide,Kelp,26.0,green,0.05474
1708,397,diphenyl oxide,King mackerel,1563.0,green,0.10521
1714,398,plant,Kumquat,57.39,green,1.0
1715,399,diphenyl oxide,Lambsquarters,1087.9,green,0.1131
1721,401,diphenyl oxide,Wild leek,498.0,green,0.10608
1728,402,diphenyl oxide,Common ling,1463.0,green,0.1052
1734,403,diphenyl oxide,Lingcod,1360.0,green,0.10515
1740,404,diphenyl oxide,American lobster,1259.0,green,0.11075
1746,406,diphenyl oxide,Lotus,475.0,green,0.06998
1752,407,diphenyl oxide,Sacred lotus,348.5,green,0.04606
1760,408,diphenyl oxide,White lupine,3969.25,green,0.1038
1767,409,diphenyl oxide,Malabar spinach,419.75,green,0.11677
1774,413,diphenyl oxide,Milkfish,1582.0,green,0.10519
1780,414,diphenyl oxide,Monkfish,1116.0,green,0.10522
1788,417,diphenyl oxide,Mountain yam,238.75,green,0.12142
1794,418,diphenyl oxide,Striped mullet,1490.0,green,0.10514
1800,420,diphenyl oxide,White mustard,1718.05,green,0.08844
1807,423,diphenyl oxide,Nopal,59.0,green,0.10051
1813,424,diphenyl oxide,Ocean pout,1282.0,green,0.1052
1819,427,diphenyl oxide,Okra,638.0,green,0.21154
1825,432,diphenyl oxide,Pacific herring,1262.0,green,0.10511
1831,433,diphenyl oxide,Pacific oyster,907.0,green,0.10181
1837,434,diphenyl oxide,Pacific rockfish,1457.0,green,0.10938
1843,436,diphenyl oxide,Pepper (C. frutescens),192.35,green,0.0917
1849,437,diphenyl oxide,Common persimmon,23.0,green,0.10698
1855,439,diphenyl oxide,Northern pike,1483.0,green,0.10515
1861,440,diphenyl oxide,Pili nut,381.0,green,0.12366
1867,441,diphenyl oxide,Colorado pinyon,861.25,green,0.12967
1874,444,diphenyl oxide,French plantain,114.0,green,0.11789
1880,447,diphenyl oxide,Opium poppy,1432.75,green,0.10247
1886,448,diphenyl oxide,Prairie turnip,189.9,green,0.19232
1894,450,diphenyl oxide,Quinoa,350.0,green,0.07249
1900,453,diphenyl oxide,Rainbow smelt,1358.0,green,0.10518
1906,454,diphenyl oxide,Rainbow trout,3009.0,green,0.10513
1912,458,diphenyl oxide,Orange roughy,1368.0,green,0.11587
1918,459,diphenyl oxide,Sablefish,1629.0,green,0.10516
1924,460,diphenyl oxide,Pink salmon,4738.0,green,0.10539
1930,461,diphenyl oxide,Chum salmon,4100.0,green,0.11665
1936,462,diphenyl oxide,Coho salmon,4704.0,green,0.10577
1942,463,diphenyl oxide,Sockeye salmon,8160.0,green,0.1104
1948,464,diphenyl oxide,Chinook salmon,3536.0,green,0.10404
1954,465,diphenyl oxide,Atlantic salmon,3034.0,green,0.10716
1960,468,diphenyl oxide,Sapodilla,14.0,green,0.10294
1966,469,diphenyl oxide,Mamey sapote,49.0,green,0.11502
1972,470,diphenyl oxide,Spanish mackerel,1447.0,green,0.10515
1978,471,diphenyl oxide,Pacific sardine,625.0,green,0.11502
1984,472,diphenyl oxide,Scallop,1730.0,green,0.09744
1990,473,diphenyl oxide,Scup,1454.0,green,0.10516
1996,475,diphenyl oxide,Steller sea lion,100.0,green,0.125
2001,476,diphenyl oxide,Bearded seal,5313.0,green,0.08631
2007,478,diphenyl oxide,Sea trout,1290.0,green,0.10519
2015,480,diphenyl oxide,American shad,1305.0,green,0.10523
2021,481,diphenyl oxide,Shark,1341.0,green,0.10577
2027,482,diphenyl oxide,Sheefish,680.0,green,0.09007
2033,483,diphenyl oxide,"Sheep (Mutton, Lamb)",5830.0,green,0.15026
2038,484,diphenyl oxide,Sheepshead,1560.0,green,0.10514
2044,485,diphenyl oxide,Hedge mustard,419.0,green,0.10512
2050,486,diphenyl oxide,Skipjack tuna,1695.0,green,0.10519
2056,487,diphenyl oxide,Snapper,1580.0,green,0.10519
2063,489,diphenyl oxide,Spelt,377.0,green,0.08917
2069,490,diphenyl oxide,Spirulina,2850.0,green,0.13516
2075,493,diphenyl oxide,Strawberry guava,28.5,green,0.05864
2081,494,diphenyl oxide,Greater sturgeon,2297.0,green,0.10518
2087,495,diphenyl oxide,White sucker,1291.0,green,0.10518
2094,497,diphenyl oxide,Pumpkinseed sunfish,1495.0,green,0.10522
2100,498,diphenyl oxide,Swordfish,1465.0,green,0.10515
2106,499,diphenyl oxide,Taro,1296.0,green,0.22603
2114,500,diphenyl oxide,Teff,591.0,green,0.13432
2120,501,diphenyl oxide,Tilefish,1418.0,green,0.10522
2126,504,diphenyl oxide,"Salmonidae (Salmon, Trout)",7240.0,green,0.11686
2132,505,diphenyl oxide,Turkey,1885.0,green,0.11979
2138,506,diphenyl oxide,"Cattle (Beef, Veal)",759283.0,green,0.09874
2144,507,diphenyl oxide,Walleye,1474.0,green,0.10514
2150,508,diphenyl oxide,Alaska pollock,1245.0,green,0.10895
2157,511,diphenyl oxide,Whelk,2277.0,green,0.10126
2163,514,diphenyl oxide,Whitefish,4760.0,green,0.0979
2169,515,diphenyl oxide,Whiting,1411.0,green,0.10519
2175,516,diphenyl oxide,Wild rice,791.0,green,0.15093
2181,518,diphenyl oxide,Winged bean,4385.25,green,0.1419
2187,519,diphenyl oxide,Yam,196.0,green,0.12405
2193,520,diphenyl oxide,Jicama,153.5,green,0.09918
2199,522,diphenyl oxide,Yellowfin tuna,1732.0,green,0.10519
2205,523,diphenyl oxide,Yellowtail amberjack,1783.0,green,0.10519
2211,525,diphenyl oxide,Albacore tuna,3386.0,green,0.10517
2217,526,diphenyl oxide,Gadus (Common cod),9560.0,green,0.13339
2223,527,diphenyl oxide,Atlantic halibut,3440.0,green,0.14853
2229,530,diphenyl oxide,Smelt,1570.0,green,0.09192
2235,531,diphenyl oxide,"Clupeinae (Herring, Sardine, Sprat)",14060.0,green,0.1197
2241,532,diphenyl oxide,Spiny lobster,1564.0,green,0.10499
2247,533,diphenyl oxide,Snow crab,1405.0,green,0.105
