,food_id,flavor_name,food_name,orig_content,flavor_group,normalized
352,58,everlasting,Coffee,1083.0,floral,0.16004
354,58,foliage,Coffee,1732.0,floral,0.25594
361,59,everlasting,Arabica coffee,1083.0,floral,0.15999
363,59,foliage,Arabica coffee,1732.0,floral,0.25587
370,60,everlasting,Robusta coffee,1083.0,floral,0.16004
372,60,foliage,Robusta coffee,1732.0,floral,0.25594
378,63,neroli,Saffron,205.48,floral,1.0
380,64,everlasting,Muskmelon,167.0,floral,0.16026
382,64,foliage,Muskmelon,128.0,floral,0.12283
385,64,neroli,Muskmelon,0.07,floral,7e-05
387,65,everlasting,Cucumber,429.09999999999997,floral,0.17471
389,65,foliage,Cucumber,497.2,floral,0.20243
394,65,neroli,Cucumber,0.251699997,floral,0.0001
398,66,everlasting,Cucurbita,10361.75,floral,0.19917
400,66,foliage,Cucurbita,10004.1,floral,0.19229
403,67,greenleaf,Cumin,83.7,floral,0.68438
404,67,neroli,Cumin,38.599998474,floral,0.31562
408,72,everlasting,Wild carrot,202.0,floral,0.08707
410,72,foliage,Wild carrot,137.75,floral,0.05938
413,72,neroli,Wild carrot,0.2,floral,9e-05
414,72,unripe plum,Wild carrot,900.0,floral,0.38794
416,73,everlasting,Japanese persimmon,102.0,floral,0.19429
418,73,foliage,Japanese persimmon,85.0,floral,0.1619
423,76,everlasting,Loquat,63.0,floral,0.17452
425,76,foliage,Loquat,60.0,floral,0.1662
429,77,neroli,Rocket salad (ssp.),36.67,floral,0.87832
431,79,everlasting,Common buckwheat,5061.0,floral,0.19437
433,79,foliage,Common buckwheat,6332.0,floral,0.24318
437,81,everlasting,Fig,844.0,floral,0.13702
439,81,foliage,Fig,769.35,floral,0.1249
444,82,everlasting,Fennel,3694.35,floral,0.20109
446,82,foliage,Fennel,4467.7,floral,0.24318
447,82,greenleaf,Fennel,54.578571438999994,floral,0.00297
451,82,neroli,Fennel,13.0,floral,0.00071
454,83,everlasting,Strawberry,409.0,floral,0.18765
456,83,foliage,Strawberry,400.0,floral,0.18352
459,83,neroli,Strawberry,2.81344828,floral,0.00129
464,85,everlasting,Soy bean,74240.0,floral,0.16921
466,85,foliage,Soy bean,65793.75,floral,0.14996
469,85,neroli,Soy bean,1.23,floral,0.0
473,86,everlasting,Sunflower,15825.0,floral,0.21832
475,86,foliage,Sunflower,15590.0,floral,0.21508
484,88,everlasting,Barley,6677.037191,floral,0.18707
486,88,foliage,Barley,3980.262382,floral,0.11151
490,90,greenleaf,Star anise,52.0,floral,0.49856
492,90,unripe plum,Star anise,20.0,floral,0.19175
495,91,everlasting,Swamp cabbage,1315.0,floral,0.25005
497,91,foliage,Swamp cabbage,964.0,floral,0.1833
500,91,neroli,Swamp cabbage,0.26,floral,5e-05
502,92,everlasting,Sweet potato,1810.3,floral,0.21622
504,92,foliage,Sweet potato,1245.25,floral,0.14873
508,92,neroli,Sweet potato,2.8899999999999997,floral,0.00035
510,93,everlasting,Black walnut,2241.0,floral,0.23498
512,93,foliage,Black walnut,1999.0,floral,0.2096
516,94,everlasting,Common walnut,1489.75,floral,0.20237
518,94,foliage,Common walnut,1585.25,floral,0.21534
523,95,everlasting,Lettuce,1349.35,floral,0.21017
525,95,foliage,Lettuce,1083.5,floral,0.16876
528,95,neroli,Lettuce,0.274871794,floral,4e-05
529,97,neroli,Sweet bay,4.82,floral,1.0
531,98,everlasting,Lentils,10340.25,floral,0.18929
533,98,foliage,Lentils,7274.25,floral,0.13316
538,99,everlasting,Garden cress,260.0,floral,0.21311
540,99,foliage,Garden cress,200.0,floral,0.16393
544,99,neroli,Garden cress,26.0,floral,0.02131
545,100,neroli,Lovage,14.0,floral,1.0
547,101,everlasting,Flaxseed,4072.0,floral,0.21246
549,101,foliage,Flaxseed,4648.0,floral,0.24251
555,105,everlasting,Apple,449.0,floral,0.1524
557,105,foliage,Apple,365.85,floral,0.12418
560,105,neroli,Apple,0.15878571400000002,floral,5e-05
564,106,everlasting,Mango,242.0,floral,0.16187
566,106,foliage,Mango,181.5,floral,0.1214
569,106,neroli,Mango,0.05,floral,3e-05
571,112,everlasting,Spearmint,1159.0,floral,0.18905
573,112,foliage,Spearmint,1115.0,floral,0.18187
578,113,everlasting,Peppermint,187.0,floral,0.18889
580,113,foliage,Peppermint,180.0,floral,0.18182
588,119,everlasting,Sweet basil,2294.0,floral,0.17703
590,119,foliage,Sweet basil,2062.0,floral,0.15913
595,120,everlasting,Evening primrose,692.25,floral,0.19127
597,120,foliage,Evening primrose,1050.0,floral,0.29012
601,121,everlasting,Olive,82.0,floral,0.13862
603,121,foliage,Olive,106.0,floral,0.17919
610,122,unripe plum,Sweet marjoram,2.55,floral,1.0
612,124,everlasting,Common oregano,585.0,floral,0.12993
614,124,foliage,Common oregano,517.0,floral,0.11483
622,125,everlasting,Rice,16696.0,floral,0.22467
624,125,foliage,Rice,12470.0,floral,0.1678
629,126,everlasting,Millet,4226.0,floral,0.25987
631,126,foliage,Millet,1210.0,floral,0.07441
635,127,everlasting,Poppy,2600.0,floral,0.21879
637,127,foliage,Poppy,2200.0,floral,0.18513
641,127,neroli,Poppy,2.3,floral,0.00019
643,129,everlasting,Parsnip,357.3196,floral,0.16667
645,129,foliage,Parsnip,270.26210141,floral,0.12607
652,130,everlasting,Avocado,745.0,floral,0.18751
654,130,foliage,Avocado,668.3,floral,0.16821
658,131,everlasting,Parsley,2833.0,floral,0.14494
660,131,foliage,Parsley,2401.0,floral,0.12284
664,131,neroli,Parsley,1.93000001,floral,0.0001
665,131,unripe plum,Parsley,3.238,floral,0.00017
668,133,everlasting,Lima bean,9911.0,floral,0.21746
670,133,foliage,Lima bean,6688.5,floral,0.14676
674,134,everlasting,Common bean,49151.75,floral,0.2028
676,134,foliage,Common bean,34536.9,floral,0.1425
679,134,neroli,Common bean,41.474617593,floral,0.00017
681,135,everlasting,Date,400.75,floral,0.14623
683,135,foliage,Date,523.5,floral,0.19101
690,136,neroli,Black chokeberry,0.98,floral,0.10273
692,138,everlasting,Pine nut,2087.0,floral,0.19246
694,138,foliage,Pine nut,2091.0,floral,0.19283
699,139,everlasting,Pepper (Spice),547.0,floral,0.06015
701,139,foliage,Pepper (Spice),441.0,floral,0.04849
705,140,everlasting,Pistachio,10193.4,floral,0.233
707,140,foliage,Pistachio,7987.05,floral,0.18257
712,141,everlasting,Common pea,13354.25,floral,0.21611
714,141,foliage,Common pea,8764.3,floral,0.14183
717,141,neroli,Common pea,50.07,floral,0.00081
719,142,everlasting,Purslane,900.0,floral,0.19831
721,142,foliage,Purslane,705.0,floral,0.15534
725,142,neroli,Purslane,0.66,floral,0.00015
727,143,everlasting,"Prunus (Cherry, Plum)",162.0,floral,0.18706
729,143,foliage,"Prunus (Cherry, Plum)",140.0,floral,0.16166
732,143,neroli,"Prunus (Cherry, Plum)",0.02,floral,2e-05
734,144,everlasting,Apricot,1169.75,floral,0.11508
736,144,foliage,Apricot,932.5,floral,0.09174
739,144,neroli,Apricot,0.69,floral,7e-05
741,145,everlasting,Sweet cherry,24.0,floral,0.15162
743,145,foliage,Sweet cherry,23.0,floral,0.1453
747,145,neroli,Sweet cherry,0.24,floral,0.00152
749,146,neroli,Sour cherry,9.29,floral,0.26295
751,147,everlasting,European plum,367.7,floral,0.17369
753,147,foliage,European plum,265.55,floral,0.12544
756,147,neroli,European plum,0.173333333,floral,8e-05
759,148,everlasting,Almond,10730.6,floral,0.16573
761,148,foliage,Almond,16761.45,floral,0.25887
765,148,neroli,Almond,0.39408750000000003,floral,1e-05
770,149,everlasting,Peach,1743.9,floral,0.22826
772,149,foliage,Peach,967.2,floral,0.1266
775,149,neroli,Peach,0.22,floral,3e-05
777,150,everlasting,Guava,272.8,floral,0.16831
779,150,foliage,Guava,402.1,floral,0.24809
785,152,everlasting,Pear,308.25,floral,0.20345
787,152,foliage,Pear,249.45,floral,0.16464
792,153,everlasting,Radish,450.0,floral,0.22325
794,153,foliage,Radish,307.25,floral,0.15243
797,153,neroli,Radish,30.43,floral,0.0151
799,154,everlasting,Garden rhubarb,168.0,floral,0.26398
801,154,foliage,Garden rhubarb,108.0,floral,0.1697
805,155,everlasting,Blackcurrant,17.0,floral,0.44881
808,155,neroli,Blackcurrant,2.257999995,floral,0.05961
810,156,neroli,Redcurrant,0.18000000000000002,floral,1.0
811,157,neroli,Gooseberry,1.755,floral,1.0
813,158,everlasting,Watercress,1775.5,floral,0.20341
815,158,foliage,Watercress,1452.0,floral,0.16635
818,158,neroli,Watercress,24.3,floral,0.00278
820,159,everlasting,Rosemary,165.0,floral,0.18206
822,159,foliage,Rosemary,159.0,floral,0.17544
826,159,unripe plum,Rosemary,0.3,floral,0.00033
828,160,neroli,"Rubus (Blackberry, Raspberry)",0.433749998,floral,1.0
830,162,everlasting,Red raspberry,40.11768205,floral,0.06533
832,162,foliage,Red raspberry,56.89617846,floral,0.09265
834,162,neroli,Red raspberry,0.07342923100000001,floral,0.00012
839,164,everlasting,Sorrel,260.0,floral,0.20218
841,164,foliage,Sorrel,240.0,floral,0.18663
847,169,everlasting,Rye,6588.5,floral,0.16358
849,169,foliage,Rye,6065.25,floral,0.15059
857,170,everlasting,Sesame,22336.85,floral,0.18979
859,170,foliage,Sesame,27199.4,floral,0.23111
863,171,everlasting,Garden tomato,2780.0,floral,0.17502
865,171,foliage,Garden tomato,2519.0,floral,0.15859
869,171,neroli,Garden tomato,0.29,floral,2e-05
872,172,neroli,Cherry tomato,0.132380953,floral,0.01848
875,173,everlasting,Garden tomato (var.),190.1,floral,0.15529
877,173,foliage,Garden tomato (var.),183.0,floral,0.14949
880,173,neroli,Garden tomato (var.),0.05397826,floral,4e-05
885,174,everlasting,Eggplant,749.1,floral,0.21113
887,174,foliage,Eggplant,516.0600000000001,floral,0.14545
891,174,neroli,Eggplant,0.01,floral,0.0
896,175,everlasting,Potato,15192.65,floral,0.23617
898,175,foliage,Potato,8417.39,floral,0.13085
902,175,neroli,Potato,0.8500000010000001,floral,1e-05
904,177,everlasting,Sorghum,922.0,floral,0.16209
906,177,foliage,Sorghum,639.0,floral,0.11234
912,178,everlasting,Spinach,3168.8,floral,0.18731
914,178,foliage,Spinach,2836.8,floral,0.16769
918,178,neroli,Spinach,14.245142857000001,floral,0.00084
920,179,everlasting,Cloves,340.0,floral,0.18044
922,179,foliage,Cloves,280.0,floral,0.14859
925,179,neroli,Cloves,23.799999237,floral,0.01263
931,182,everlasting,Cocoa bean,570.0,floral,0.09803
933,182,foliage,Cocoa bean,90.0,floral,0.01548
937,183,everlasting,Common thyme,1331.1,floral,0.62313
941,186,everlasting,Fenugreek,2178.5,floral,0.15205
943,186,foliage,Fenugreek,2555.8,floral,0.17839
949,187,everlasting,Common wheat,2283.0,floral,0.13332
951,187,foliage,Common wheat,2127.25,floral,0.12422
957,188,everlasting,"Vaccinium (Blueberry, Cranberry, Huckleberry)",219.0,floral,0.21157
959,188,foliage,"Vaccinium (Blueberry, Cranberry, Huckleberry)",221.0,floral,0.2135
962,188,neroli,"Vaccinium (Blueberry, Cranberry, Huckleberry)",5.14,floral,0.00497
964,191,everlasting,Highbush blueberry,105.0,floral,0.21401
966,191,foliage,Highbush blueberry,104.95,floral,0.21391
969,191,neroli,Highbush blueberry,6.97910918,floral,0.01422
973,192,everlasting,American cranberry,45.0,floral,0.17547
975,192,foliage,American cranberry,48.0,floral,0.18717
978,192,neroli,American cranberry,0.34333333099999996,floral,0.00134
982,194,neroli,Lingonberry,0.9655555870000001,floral,1.0
985,197,everlasting,Broad bean,3682.0,floral,0.09827
987,197,foliage,Broad bean,3306.0,floral,0.08823
991,197,neroli,Broad bean,0.382500001,floral,1e-05
994,198,everlasting,Adzuki bean,3264.4,floral,0.17332
996,198,foliage,Adzuki bean,2412.7,floral,0.1281
1000,199,everlasting,Gram bean,2262.0,floral,0.19747
1002,199,foliage,Gram bean,1683.0,floral,0.14692
1006,200,everlasting,Mung bean,7266.25,floral,0.20338
1008,200,foliage,Mung bean,5225.85,floral,0.14627
1011,200,neroli,Mung bean,0.33,floral,1e-05
1012,202,neroli,Cowpea,1.92,floral,1.0
1014,204,everlasting,Common grape,160.3,floral,0.13922
1016,204,foliage,Common grape,157.45,floral,0.13675
1019,204,neroli,Common grape,2.7199999999999998,floral,0.00236
1023,205,everlasting,Corn,20298.3,floral,0.15662
1025,205,foliage,Corn,15060.65,floral,0.11621
1032,206,everlasting,Ginger,876.6,floral,0.23607
1034,206,foliage,Ginger,773.8,floral,0.20838
1037,206,neroli,Ginger,33.6,floral,0.00905
1039,206,unripe plum,Ginger,1.775,floral,0.00048
1041,207,neroli,Arctic blackberry,0.15,floral,0.09677
1043,208,everlasting,Banana,389.0,floral,0.23085
1045,208,foliage,Banana,270.0,floral,0.16023
1048,208,neroli,Banana,0.11,floral,7e-05
1050,214,everlasting,Celeriac,174.0,floral,0.27751
1052,214,foliage,Celeriac,90.0,floral,0.14354
1055,216,neroli,Chinese chives,3.819999988,floral,1.0
1057,224,everlasting,Longan,275.0,floral,0.15678
1059,224,foliage,Longan,200.0,floral,0.11403
1063,226,neroli,Garden onion (var.),2.506363613,floral,0.11715
1066,229,everlasting,Nectarine,39.0,floral,0.18928
1068,229,foliage,Nectarine,33.0,floral,0.16016
1071,229,neroli,Nectarine,0.04,floral,0.00019
1073,237,everlasting,Swiss chard,1016.2198441,floral,0.31768
1075,237,foliage,Swiss chard,183.7621709,floral,0.05744
1078,237,neroli,Swiss chard,33.300000048,floral,0.01041
1083,241,everlasting,Welsh onion,84.0,floral,0.14869
1085,241,foliage,Welsh onion,94.0,floral,0.16639
1088,241,neroli,Welsh onion,24.95,floral,0.04416
1090,242,everlasting,Hard wheat,594.0,floral,0.16337
1092,242,foliage,Hard wheat,495.0,floral,0.13614
1097,243,everlasting,Shallot,653.0,floral,0.15544
1099,243,foliage,Shallot,734.0,floral,0.17472
1104,244,neroli,Rocket salad,1.78,floral,0.69531
1107,245,everlasting,Carrot,1626.94,floral,0.16855
1109,245,foliage,Carrot,831.4300000000001,floral,0.08614
1113,245,neroli,Carrot,4.719400004000001,floral,0.00049
1114,245,unripe plum,Carrot,900.0,floral,0.09324
1118,246,everlasting,Triticale,1224.0,floral,0.16979
1120,246,foliage,Triticale,1124.0,floral,0.15592
1124,247,everlasting,Black cabbage,749.0,floral,0.19753
1126,247,foliage,Black cabbage,587.0,floral,0.15481
1129,247,neroli,Black cabbage,8.74,floral,0.00231
1131,249,everlasting,Celery leaves,174.0,floral,0.27751
1133,249,foliage,Celery leaves,90.0,floral,0.14354
1138,252,everlasting,Pak choy,338.0,floral,0.20208
1140,252,foliage,Pak choy,219.0,floral,0.13093
1143,252,neroli,Pak choy,9.600000381,floral,0.00574
1145,253,everlasting,Napa cabbage,185.0,floral,0.1919
1147,253,foliage,Napa cabbage,121.0,floral,0.12551
1150,253,neroli,Napa cabbage,0.04,floral,4e-05
1153,256,everlasting,Grapefruit,191.0,floral,0.09858
1155,256,foliage,Grapefruit,168.0,floral,0.0867
1158,256,neroli,Grapefruit,0.676666671,floral,0.00035
1163,261,everlasting,Daikon radish,525.0,floral,0.2249
1165,261,foliage,Daikon radish,357.0,floral,0.15293
1168,261,neroli,Daikon radish,0.34,floral,0.00015
1169,262,neroli,Black radish,2.110000134,floral,1.0
1170,263,neroli,Radish (var.),0.629999995,floral,1.0
1172,264,everlasting,Red beetroot,492.1,floral,0.20822
1174,264,foliage,Red beetroot,325.21,floral,0.1376
1183,268,everlasting,Beer,161.17,floral,0.00385
1185,268,foliage,Beer,193.193,floral,0.00462
1188,268,neroli,Beer,0.81,floral,2e-05
1196,269,everlasting,Other bread,7322.0,floral,0.16125
1198,269,foliage,Other bread,5868.0,floral,0.12923
1203,270,everlasting,Breakfast cereal,22090.0,floral,0.17163
1205,270,foliage,Breakfast cereal,19714.0,floral,0.15317
1209,272,everlasting,Other soy product,32087.0,floral,0.1687
1211,272,foliage,Other soy product,27887.0,floral,0.14662
1215,274,everlasting,Pasta,23041.0,floral,0.16921
1217,274,foliage,Pasta,17729.0,floral,0.1302
1222,275,everlasting,Biscuit,24110.0,floral,0.16686
1224,275,foliage,Biscuit,19573.0,floral,0.13546
1233,280,everlasting,Abalone,1607.0,floral,0.13941
1235,280,foliage,Abalone,2283.0,floral,0.19806
