,food_id,flavor_name,food_name,orig_content,flavor_group,normalized
876,173,feta cheese,Garden tomato (var.),273.75,milky,0.22363
886,174,feta cheese,Eggplant,613.01,milky,0.17277
897,175,feta cheese,Potato,13232.76,milky,0.2057
905,177,feta cheese,Sorghum,391.0,milky,0.06874
913,178,feta cheese,Spinach,3303.2,milky,0.19526
921,179,feta cheese,Cloves,370.0,milky,0.19636
927,180,feta cheese,Tamarind,449.8,milky,1.0
932,182,feta cheese,Cocoa bean,80.0,milky,0.01376
938,183,feta cheese,Common thyme,548.3,milky,0.25668
942,186,feta cheese,Fenugreek,3375.75,milky,0.23562
950,187,feta cheese,Common wheat,3254.0,milky,0.19002
958,188,feta cheese,"Vaccinium (Blueberry, Cranberry, Huckleberry)",87.0,milky,0.08405
965,191,feta cheese,Highbush blueberry,45.0,milky,0.09172
974,192,feta cheese,American cranberry,39.0,milky,0.15207
986,197,feta cheese,Broad bean,5131.25,milky,0.13695
995,198,feta cheese,Adzuki bean,4778.2,milky,0.2537
1001,199,feta cheese,Gram bean,2674.0,milky,0.23344
1007,200,feta cheese,Mung bean,7973.95,milky,0.22319
1015,204,feta cheese,Common grape,157.1,milky,0.13644
1024,205,feta cheese,Corn,12188.45,milky,0.09404
1033,206,feta cheese,Ginger,540.0,milky,0.14542
1044,208,feta cheese,Banana,270.0,milky,0.16023
1051,214,feta cheese,Celeriac,73.0,milky,0.11643
1058,224,feta cheese,Longan,218.0,milky,0.12429
1067,229,feta cheese,Nectarine,32.0,milky,0.15531
1074,237,feta cheese,Swiss chard,820.0560393000001,milky,0.25635
1084,241,feta cheese,Welsh onion,95.0,milky,0.16816
1091,242,feta cheese,Hard wheat,303.0,milky,0.08334
1098,243,feta cheese,Shallot,739.0,milky,0.17591
1108,245,feta cheese,Carrot,1432.92,milky,0.14845
1119,246,feta cheese,Triticale,734.0,milky,0.10182
1125,247,feta cheese,Black cabbage,729.0,milky,0.19226
1132,249,feta cheese,Celery leaves,73.0,milky,0.11643
1139,252,feta cheese,Pak choy,364.0,milky,0.21763
1146,253,feta cheese,Napa cabbage,249.0,milky,0.25829
1154,256,feta cheese,Grapefruit,204.0,milky,0.10528
1164,261,feta cheese,Daikon radish,529.0,milky,0.22662
1173,264,feta cheese,Red beetroot,391.0,milky,0.16544
1184,268,feta cheese,Beer,50.0,milky,0.0012
1197,269,feta cheese,Other bread,4574.0,milky,0.10073
1204,270,feta cheese,Breakfast cereal,11975.0,milky,0.09304
1210,272,feta cheese,Other soy product,41223.0,milky,0.21673
1216,274,feta cheese,Pasta,11701.0,milky,0.08593
1223,275,feta cheese,Biscuit,17493.0,milky,0.12106
1234,280,feta cheese,Abalone,2711.0,milky,0.23519
1241,283,feta cheese,Acorn,1357.0,milky,0.21353
1247,284,feta cheese,Winter squash,455.0,milky,0.16192
1253,286,feta cheese,Red king crab,3276.0,milky,0.2743
1258,287,feta cheese,Alfalfa,424.0,milky,0.48792
1262,289,feta cheese,Amaranth,1919.4,milky,0.16432
1268,291,feta cheese,Arrowroot,13.0,milky,0.17808
1274,292,feta cheese,Asian pear,17.0,milky,0.19767
1280,293,feta cheese,Atlantic herring,9586.0,milky,0.28615
1286,294,feta cheese,Atlantic mackerel,3898.0,milky,0.28613
1292,295,feta cheese,Painted comber,3234.0,milky,0.30174
1298,296,feta cheese,Atlantic pollock,4075.0,milky,0.28619
1304,297,feta cheese,Atlantic wolffish,5168.0,milky,0.236
1309,298,feta cheese,Bamboo shoots,381.0,milky,0.20053
1315,299,feta cheese,Striped bass,3716.0,milky,0.28613
1321,301,feta cheese,Beech nut,367.0,milky,0.18879
1327,302,feta cheese,Beluga whale,6313.0,milky,0.27643
1333,306,feta cheese,Blue crab,6077.0,milky,0.26295
1339,307,feta cheese,Blue mussel,2668.0,milky,0.23777
1345,308,feta cheese,Northern bluefin tuna,4889.0,milky,0.28612
1351,309,feta cheese,Bluefish,4200.0,milky,0.28616
1357,312,feta cheese,Breadfruit,2510.15,milky,0.22276
1363,313,feta cheese,Breadnut tree seed,636.0,milky,0.11721
1369,314,feta cheese,Rapini,437.0,milky,0.24661
1375,317,feta cheese,Burbot,4048.0,milky,0.2862
1381,319,feta cheese,American butterfish,3622.0,milky,0.28619
1387,320,feta cheese,Butternut,1553.3,milky,0.104
1393,321,feta cheese,Butternut squash,258.0,milky,0.16135
1398,322,feta cheese,Calabash,306.5,milky,0.43677
1401,326,feta cheese,Carob,2828.0,milky,0.1934
1408,327,feta cheese,Common carp,3738.0,milky,0.28617
1414,328,feta cheese,Cassava,296.75,milky,0.20184
1420,329,feta cheese,Channel catfish,7861.0,milky,0.28425
1426,330,feta cheese,Chayote,466.75,milky,0.1357
1432,331,feta cheese,Cherimoya,42.0,milky,0.10294
1438,332,feta cheese,Chervil,370.0,milky,0.11178
