,food_id,flavor_group,orig_content,normalized
1004,314,fruity,289.0,0.16309
1009,317,fruity,1558.0,0.11015
1014,319,fruity,1394.0,0.11015
1019,320,fruity,2493.35,0.16693
1024,321,fruity,251.0,0.15697
1031,326,fruity,2234.0,0.15278
1036,327,fruity,1439.0,0.11017
1041,328,fruity,257.75,0.17531
1046,329,fruity,3170.0,0.11463
1051,330,fruity,566.75,0.16478
1056,331,fruity,157.0,0.3848
1061,332,fruity,488.0,0.14743
1066,333,fruity,776.0,0.14758
1071,334,fruity,12540.0,0.19012
1075,336,fruity,708.0,0.14458
1080,339,fruity,1250.0,0.11018
1085,341,fruity,2695.0,0.15699
1090,342,fruity,1140.0,0.10705
1095,343,fruity,4463.0,0.11017
1100,344,fruity,1825.0,0.12983
1105,345,fruity,658.5,0.16214
1110,346,fruity,7355.0,0.1547
1115,347,fruity,1802.0,0.16076
1120,348,fruity,42.0,0.1597
1125,350,fruity,1388.0,0.12047
1130,351,fruity,1533.0,0.1102
1135,352,fruity,1987.0,0.1298
1140,355,fruity,328.0,0.16673
1145,356,fruity,1493.0,0.11018
1150,357,fruity,1415.0,0.11014
1155,359,fruity,1310.0,0.10404
1160,361,fruity,1811.0,0.13497
1165,362,fruity,1488.0,0.11017
1170,363,fruity,151.0,0.13153
1175,367,fruity,1741.0,0.11017
1180,368,fruity,1246.6,0.16675
1185,369,fruity,2456.0,0.11821
1190,371,fruity,1491.0,0.11018
1195,372,fruity,1921.4,0.25252
1200,374,fruity,619.0,0.27436
1205,375,fruity,2159.0,0.11978
1210,377,fruity,1563.0,0.11012
1215,379,fruity,5960.0,0.12511
1220,380,fruity,3152.0,0.11217
1225,381,fruity,2998.0,0.16393
1230,382,fruity,571.0,0.15765
1235,384,fruity,2239.25,0.14692
1240,386,fruity,2648.6,0.1404
1245,388,fruity,820.0,0.11016
1250,389,fruity,17.0,0.03803
1255,390,fruity,705.0,0.17529
1260,392,fruity,257.3,0.14516
1265,394,fruity,1695.1,0.18062
1270,395,fruity,2002.0,0.2118
1275,396,fruity,73.0,0.15368
1280,397,fruity,1636.0,0.11012
1286,399,fruity,1384.75,0.14396
1291,401,fruity,812.0,0.17296
1296,402,fruity,1532.0,0.11016
1301,403,fruity,1425.0,0.11017
1306,404,fruity,1593.0,0.14013
1311,406,fruity,1629.0,0.23998
1316,407,fruity,1386.2,0.18322
1322,408,fruity,4308.0,0.11266
1328,409,fruity,612.25,0.17032
1334,413,fruity,1657.0,0.11018
1339,414,fruity,1168.0,0.11013
1346,417,fruity,323.25,0.1644
1351,418,fruity,1561.0,0.11015
1356,420,fruity,5190.0,0.26717
1362,423,fruity,88.0,0.14991
1367,424,fruity,1342.0,0.11013
1372,427,fruity,332.0,0.11008
1377,432,fruity,1323.0,0.11019
1382,433,fruity,1157.0,0.12987
1387,434,fruity,1540.0,0.11562
1392,436,fruity,398.45,0.18996
1397,437,fruity,31.0,0.14419
1402,439,fruity,1554.0,0.11019
1407,440,fruity,471.0,0.15287
1412,441,fruity,1263.5,0.19024
1418,444,fruity,180.0,0.18614
1423,447,fruity,3854.6,0.27567
1428,448,fruity,126.6,0.12822
1435,450,fruity,1013.0,0.20982
1440,453,fruity,1422.0,0.11014
1445,454,fruity,3154.0,0.11019
1450,458,fruity,1274.0,0.10791
1455,459,fruity,1706.0,0.11013
1460,460,fruity,5454.0,0.12131
1465,461,fruity,3831.0,0.109
1470,462,fruity,4952.0,0.11135
1475,463,fruity,8911.0,0.12056
1480,464,fruity,3989.0,0.11737
1485,465,fruity,3103.0,0.1096
1490,468,fruity,36.0,0.26471
1495,469,fruity,85.0,0.19953
1500,470,fruity,1516.0,0.11017
1505,471,fruity,651.0,0.1198
1510,472,fruity,2276.0,0.1282
1515,473,fruity,1523.0,0.11015
1520,475,fruity,200.0,0.25
1525,476,fruity,9355.0,0.15198
1530,478,fruity,1351.0,0.11016
1537,480,fruity,1366.0,0.11015
1542,481,fruity,1486.0,0.11721
1547,482,fruity,1150.0,0.15232
1552,483,fruity,7120.0,0.18351
1556,484,fruity,1635.0,0.1102
1561,485,fruity,673.0,0.16884
1566,486,fruity,1775.0,0.11016
1571,487,fruity,1655.0,0.11019
1577,489,fruity,1625.0,0.38434
1582,490,fruity,2627.0,0.12459
1587,493,fruity,73.5,0.15123
1592,494,fruity,2406.0,0.11017
1597,495,fruity,1353.0,0.11023
1603,497,fruity,1565.0,0.11015
1608,498,fruity,1535.0,0.11018
1613,499,fruity,234.25,0.04086
1618,500,fruity,857.0,0.19477
1623,501,fruity,1485.0,0.11019
1628,504,fruity,7696.0,0.12423
1633,505,fruity,2531.0,0.16084
1638,506,fruity,1010930.0,0.13146
1643,507,fruity,1545.0,0.11021
1648,508,fruity,1293.0,0.11315
1654,511,fruity,3547.0,0.15774
1659,514,fruity,6447.0,0.1326
1664,515,fruity,1478.0,0.11018
1669,516,fruity,659.0,0.12574
1674,518,fruity,6365.85,0.20599
1679,519,fruity,268.0,0.16962
1684,520,fruity,315.0,0.20352
1689,522,fruity,1815.0,0.11023
1694,523,fruity,1867.0,0.11015
1699,525,fruity,3546.0,0.11014
1704,526,fruity,9840.0,0.1373
1709,527,fruity,2760.0,0.11917
1714,530,fruity,2360.0,0.13817
1719,531,fruity,15520.0,0.13213
1724,532,fruity,1549.0,0.10399
1729,533,fruity,1392.0,0.10403
1734,534,fruity,2087.0,0.11108
1739,535,fruity,10466.0,0.14189
1744,536,fruity,1329.75,0.20532
1749,537,fruity,4575.0,0.1102
1754,538,fruity,1620.0,0.1102
1759,540,fruity,4459.0,0.1397
1767,544,fruity,4912.0,0.14892
1772,545,fruity,1418.0,0.13474
1777,546,fruity,11271.0,0.14396
1782,547,fruity,2146.0,0.10408
1787,548,fruity,2426.0,0.12046
1792,549,fruity,453660.0,0.13989
1797,552,fruity,2293.0,0.38223
1802,553,fruity,1840.0,0.0964
1807,555,fruity,2491.0,0.10908
1812,557,fruity,30.0,0.26838
1817,558,fruity,26.0,0.125
1822,561,fruity,1269.0,0.13084
1827,562,fruity,727.0,0.15225
1832,563,fruity,251.0,0.11713
1837,564,fruity,92.0,0.12958
1842,565,fruity,60.0,0.06977
1847,567,fruity,382.0,0.13432
1852,569,fruity,60.0,0.11236
1857,571,fruity,1494.0,0.11019
1862,575,fruity,49930.0,0.32366
1868,577,fruity,13.0,0.11304
1873,580,fruity,1080.0,0.1374
1878,587,fruity,5700.0,0.14438
1883,590,fruity,9690.0,0.17126
1888,591,fruity,3120.0,0.13991
1893,593,fruity,1500.0,0.12
1898,597,fruity,2200.0,0.14676
1903,598,fruity,4940.0,0.14394
1908,600,fruity,5020.0,0.12358
1913,601,fruity,4400.0,0.14226
1918,603,fruity,1700.0,0.14505
1923,606,fruity,340.0,0.12879
1928,608,fruity,54.0,0.16216
1933,610,fruity,1580.0,0.13527
1938,618,fruity,780.0,0.11982
1943,619,fruity,2090.0,0.12005
1948,621,fruity,10969.0,0.11756
1953,622,fruity,650.0,0.157
1958,624,fruity,1610.0,0.17312
1962,626,fruity,300.773574828,0.00069
1969,630,fruity,812.0,0.00316
1975,631,fruity,420032.0,0.32135
1980,632,fruity,11080.0,0.00578
1986,633,fruity,49092.0,0.13591
1991,634,fruity,13134.0,0.29578
1997,638,fruity,1753.0,0.16327
2001,640,fruity,0.031181818,0.0
2007,641,fruity,6221.0,0.27798
2014,643,fruity,90.0,0.70247
2017,645,fruity,0.094951996,0.00047
2021,646,fruity,0.011,0.0
2027,649,fruity,0.075994444,0.0
2033,654,fruity,20339.0,0.28871
2039,655,fruity,38623.0,0.33118
2044,656,fruity,2600.0,0.32059
2049,657,fruity,22616.0,0.24484
2054,659,fruity,11142.0,0.3229
2059,660,fruity,51375.0,0.32376
2065,663,fruity,1100.0,0.18456
2070,664,fruity,2365.0,0.25565
2075,665,fruity,2405.0,0.26296
2080,667,fruity,438.0,0.29475
2085,669,fruity,6315.0,0.29542
2090,671,fruity,81072.0,0.16369
2095,673,fruity,960.0,0.29448
2100,674,fruity,3820.0,0.16648
2105,677,fruity,7760.0,0.22746
2110,679,fruity,6466.0,0.2691
2115,680,fruity,9400.0,0.20982
2120,681,fruity,23.0,0.13939
2125,682,fruity,7567.0,0.13665
2130,683,fruity,275.0,0.27282
2135,684,fruity,26200.0,0.27089
2140,686,fruity,3417.0,0.13852
2145,687,fruity,82.0,0.25
2150,689,fruity,2146.0,0.24596
2157,690,fruity,22516.0,0.20586
2162,692,fruity,18087.0,0.22368
2167,693,fruity,1157.0,0.12528
2172,694,fruity,1045.0,0.01074
2178,695,fruity,765.0,0.22815
2184,696,fruity,2880.0,0.2063
2190,701,fruity,2293.0,0.14351
2196,704,fruity,400.0,0.14184
2201,707,fruity,5614.700000048,0.13622
2209,709,fruity,5420.0,0.21099
2215,710,fruity,4363.0,0.29982
2221,711,fruity,34743.0,0.29155
2226,712,fruity,2052.0,0.29978
2231,713,fruity,660.0,0.30359
2236,714,fruity,5669.0,0.28803
2241,715,fruity,1380.0,0.30626
2246,716,fruity,2567.0,0.24876
2251,717,fruity,619.0,0.21033
2256,718,fruity,13000.0,0.18964
2261,722,fruity,3914.0,0.15953
2266,723,fruity,1710.0,0.11705
2271,724,fruity,486.0,0.13858
2277,725,fruity,15543.0,0.20875
2283,728,fruity,7605.0,0.24014
2288,729,fruity,31558.0,0.21313
2293,730,fruity,1753.0,0.16327
2298,731,fruity,1151.0,0.15896
2303,732,fruity,3673.0,0.2154
2308,733,fruity,4622.0,0.37017
2313,734,fruity,3662.0,0.26771
2318,735,fruity,15793.0,0.30284
2323,736,fruity,1940.0,0.16798
2328,737,fruity,1044.0,0.26444
2334,739,fruity,1507.0,0.27662
2339,740,fruity,1682.0,0.24974
2344,742,fruity,2848.0,0.31184
2349,743,fruity,88.0,0.15686
2354,744,fruity,7879.0,0.25574
2359,745,fruity,3608.0,0.16065
2364,746,fruity,4346.0,0.27613
2369,747,fruity,4441.0,0.25811
2374,749,fruity,1527.0,0.17594
2379,750,fruity,32784.0,0.27203
2384,751,fruity,1346.0,0.23827
2390,752,fruity,545.0,0.15834
2395,754,fruity,270.0,0.18621
2401,755,fruity,2844.0,0.536
2406,757,fruity,8604.0,0.30227
2411,759,fruity,5284.0,0.25668
2417,760,fruity,3067.0,0.31087
2423,761,fruity,482.0,0.20537
2429,762,fruity,9443.0,0.16523
2436,765,fruity,1821.0,0.42467
2441,766,fruity,1595.0,0.36887
2446,767,fruity,575.0,0.24499
2452,769,fruity,2823.0,0.21724
2457,770,fruity,4990.0,0.42951
2462,771,fruity,5.0,0.18519
2467,772,fruity,2049.0,0.21749
2472,774,fruity,1767.0,0.25203
2477,775,fruity,2172.0,0.20897
2482,776,fruity,3562.0,0.16544
2487,777,fruity,1616.0,0.2365
2492,778,fruity,558.0,0.15906
2497,779,fruity,425.0,0.33919
2503,780,fruity,12894.0,0.20753
2508,781,fruity,244.0,0.17087
2513,782,fruity,16881.0,0.22317
2518,784,fruity,6663.0,0.34145
2523,785,fruity,27.0,0.27551
2528,787,fruity,693.0,0.2973
2533,789,fruity,100.0,0.1845
2538,790,fruity,340.0,0.24781
2543,793,fruity,5354.0,0.20426
2548,795,fruity,8548.0,0.1591
2553,796,fruity,7679.0,0.1761
2558,803,fruity,826.0,0.41929
2563,805,fruity,9470.0,0.4026
2569,806,fruity,14.0,0.2
2574,807,fruity,7922.0,0.3079
2580,810,fruity,1885.0,0.42831
2586,812,fruity,36945.0,0.37394
2591,815,fruity,1403.0,0.25207
2596,816,fruity,619.0,0.27511
2601,818,fruity,947.0,0.34499
2606,819,fruity,1301.0,0.13583
2611,820,fruity,1012.0,0.19276
2616,824,fruity,2711.0,0.27917
2621,829,fruity,3070.0,0.39425
2626,831,fruity,10543.0,0.40007
2631,832,fruity,10622.0,0.38143
2636,835,fruity,2416.0,0.28575
2641,836,fruity,38219.0,0.39055
2646,837,fruity,11666.069999993,0.36678
2652,838,fruity,7105.0,0.33691
2657,839,fruity,479.0,0.27293
2662,840,fruity,2622.0,0.31233
2667,841,fruity,4412.0,0.2882
2672,842,fruity,1473.0,0.30123
2677,843,fruity,1899.0,0.36185
2682,845,fruity,2555.0,0.39472
2687,846,fruity,1134.0,0.42456
2692,848,fruity,2856.0,0.17461
2697,850,fruity,316.0,0.2878
2703,854,fruity,685.0,0.23531
2709,855,fruity,1716.0,0.28648
2716,858,fruity,2223.0,0.24482
2721,859,fruity,855.0,0.24913
2726,860,fruity,508.0,0.3031
2731,862,fruity,341.0,0.11144
2736,865,fruity,16449.0,0.19381
2742,866,fruity,1082.0,0.27036
2747,867,fruity,336.0,0.17266
2752,868,fruity,1400.0,0.31015
2759,871,fruity,766.0,0.27915
2764,872,fruity,723.0,0.31164
2769,873,fruity,119.0,0.29676
2774,874,fruity,201.0,0.1574
2779,876,fruity,179.0,0.14967
2784,877,fruity,1330.0,0.26316
2789,878,fruity,197.0,0.30168
2794,880,fruity,170.0,0.12723
2799,881,fruity,1710.05,0.54119
2805,906,fruity,5872.25,0.13709
2810,907,fruity,693.2177,0.11334999999999999
2816,908,fruity,692.25,0.10981
2823,909,fruity,1385.2694999999999,0.17403
2829,910,fruity,335.4078,0.15715
2835,911,fruity,270.85,0.12038
2841,912,fruity,34359.85,0.16055
2846,913,fruity,1095.332,0.18405
2852,914,fruity,2243.7081,0.14361000000000002
2858,915,fruity,769.0,0.12219
