,food_id,food_name,flavor_group,orig_content,normalized
2207,709,Chocolate,chemical,3096.0,0.12052
2213,710,Hot chocolate,chemical,1479.0,0.10164
2219,711,Dried milk,chemical,12174.0,0.10216
2224,712,Milk (Other mammals),chemical,759.0,0.11088
2229,713,Kefir,chemical,240.0,0.1104
2234,714,Buttermilk,chemical,1982.0,0.1007
2239,715,Other fermented milk,chemical,480.0,0.10652
2244,716,Soy sauce,chemical,1579.0,0.15302
2249,717,Miso,chemical,500.0,0.16989
2254,718,Tofu,chemical,9848.0,0.14366
2259,722,Roe,chemical,4912.0,0.20021
2264,723,Cichlidae (Tilapia),chemical,2711.0,0.18557
2269,724,Icing,chemical,503.0,0.14343
2275,725,Snack bar,chemical,11548.0,0.15509
2281,728,Burrito,chemical,4657.0,0.14705
2286,729,Hamburger,chemical,23947.0,0.16173
2291,730,Baked beans,chemical,1659.0,0.15451
2296,731,Chili,chemical,1327.0,0.18326
2301,732,Taco,chemical,2636.0,0.15459
2306,733,Tortilla,chemical,1888.0,0.15121
2311,734,Nachos,chemical,2543.0,0.18591
2316,735,Processed cheese,chemical,4347.0,0.08336
2321,736,Salad,chemical,1894.0,0.164
2326,737,Cream substitute,chemical,367.0,0.09296
2332,739,Topping,chemical,577.0,0.10591
2337,740,Sweet custard,chemical,847.0,0.12576
2342,742,Egg roll,chemical,1326.0,0.14519
2347,743,Heart of palm,chemical,111.0,0.19786
2352,744,Popcorn,chemical,6978.0,0.22649
2357,745,Potato chip,chemical,2948.0,0.13126
2362,746,Tortilla chip,chemical,3310.0,0.21031
2367,747,Corn chip,chemical,3610.0,0.20981
2372,749,Stew,chemical,1665.0,0.19184
2377,750,Gelatin dessert,chemical,21353.0,0.17718
2382,751,Junket,chemical,576.0,0.10196
2388,752,Falafel,chemical,573.0,0.16647
2393,754,Other frozen dessert,chemical,110.0,0.07586
2399,755,Lasagna,chemical,422.0,0.07953
2404,757,Pancake,chemical,3997.0,0.14042
2409,759,Pudding,chemical,1911.0,0.09283
2415,760,Waffle,chemical,1335.0,0.13531
2421,761,Soy milk,chemical,341.0,0.14529
