,food_id,food_name,flavor_group,orig_content,normalized
816,249,Celery leaves,green,54.0,0.08612
822,252,Pak choy,green,147.0,0.08789
827,253,Napa cabbage,green,81.0,0.08402
832,256,Grapefruit,green,342.153999991,0.17658999999999997
839,261,Daikon radish,green,207.0,0.08868
847,264,Red beetroot,green,233.6,0.09884
853,268,Beer,green,345.44023654100005,0.00826
860,269,Other bread,green,4678.0,0.10302
865,270,Breakfast cereal,green,11985.0,0.09312
871,272,Other soy product,green,24582.0,0.12924
876,274,Pasta,green,12125.0,0.08904
881,275,Biscuit,green,15358.0,0.10629
885,277,Spirit,green,0.097111109,0.0
892,280,Abalone,green,1174.0,0.10185
898,283,Acorn,green,660.0,0.10386
903,284,Winter squash,green,416.0,0.14804
908,286,Red king crab,green,1253.0,0.10492
916,289,Amaranth,green,1066.2,0.09128
921,291,Arrowroot,green,9.0,0.12329
926,292,Asian pear,green,4.0,0.04651
931,293,Atlantic herring,green,3524.0,0.10519
936,294,Atlantic mackerel,green,1433.0,0.10519
941,295,Painted comber,green,1202.0,0.11215
946,296,Atlantic pollock,green,1497.0,0.10513
951,297,Atlantic wolffish,green,2488.0,0.11362
960,299,Striped bass,green,1366.0,0.10518
965,301,Beech nut,green,172.0,0.08848
970,302,Beluga whale,green,1887.0,0.08263
975,306,Blue crab,green,2599.0,0.11246
980,307,Blue mussel,green,1143.0,0.10186
985,308,Northern bluefin tuna,green,1797.0,0.10517
990,309,Bluefish,green,1543.0,0.10513
995,312,Breadfruit,green,1450.75,0.12874
1000,313,Breadnut tree seed,green,1073.0,0.19775
1005,314,Rapini,green,165.0,0.09312
1010,317,Burbot,green,1488.0,0.1052
1015,319,American butterfish,green,1331.0,0.10517
1020,320,Butternut,green,1970.9,0.13196
1025,321,Butternut squash,green,235.0,0.14697
1032,326,Carob,green,1765.0,0.1207
1037,327,Common carp,green,1374.0,0.10519
1042,328,Cassava,green,134.5,0.09148
1047,329,Channel catfish,green,2917.0,0.10548
1052,330,Chayote,green,409.5,0.11906
1057,331,Cherimoya,green,31.0,0.07598
1062,332,Chervil,green,394.0,0.11903
1067,333,Chia,green,563.0,0.10707
1072,334,Chicken,green,8690.0,0.13175
1076,336,Chinese chestnut,green,548.0,0.11191
1081,339,Cisco,green,1193.0,0.10516
1086,341,Coconut,green,1947.0,0.11342
1091,342,Pacific cod,green,1232.0,0.11569
1096,343,Atlantic cod,green,4261.0,0.10518
1101,344,Common octopus,green,1431.0,0.1018
1106,345,Corn salad,green,304.0,0.07485
1111,346,Cottonseed,green,6215.0,0.13072
1116,347,Catjang pea,green,1297.0,0.11571
1121,348,Malus (Crab apple),green,24.0,0.09125
1126,350,Atlantic croaker,green,1221.0,0.10597
1131,351,Cusk,green,1463.0,0.10517
1136,352,Cuttlefish,green,1559.0,0.10184
1141,355,Dock,green,233.0,0.11844
1146,356,Dolphin fish,green,1426.0,0.10524
1151,357,Freshwater drum,green,1351.0,0.10516
1156,359,Dungeness crab,green,1322.0,0.105
1161,361,Eastern oyster,green,1537.0,0.11455
1166,362,Freshwater eel,green,1421.0,0.1052
1171,363,Elderberry,green,305.0,0.26568
1176,367,European anchovy,green,1662.0,0.10517
1181,368,European chestnut,green,661.95,0.08855
1186,369,Turbot,green,2337.0,0.11248
1191,371,Florida pompano,green,1424.0,0.10522
1196,372,Ginkgo nuts,green,337.5,0.04436
1201,374,Grape,green,89.0,0.03945
1206,375,Greenland halibut/turbot,green,1967.0,0.10913
1211,377,Grouper,green,1493.0,0.10519
1216,379,Haddock,green,5371.0,0.11275
1221,380,Hippoglossus (Common halibut),green,3010.0,0.10712
1226,381,Hazelnut,green,2018.0,0.11035
1231,382,Hickory nut,green,454.0,0.12535
1236,384,Horseradish tree,green,1723.5,0.11308
1241,386,Hyacinth bean,green,2295.9,0.1217
1246,388,Pacific jack mackerel,green,783.0,0.10519
1251,389,Jackfruit,green,103.0,0.23043
1256,390,Japanese chestnut,green,322.0,0.08006
1261,392,Jerusalem artichoke,green,171.5,0.09676
1266,394,Jute,green,1018.75,0.10855
1271,395,Kale,green,1035.0,0.1095
1276,396,Kelp,green,26.0,0.05474
1281,397,King mackerel,green,1563.0,0.10521
1283,398,Kumquat,green,57.39,1.0
1287,399,Lambsquarters,green,1087.9,0.1131
1292,401,Wild leek,green,498.0,0.10608
1297,402,Common ling,green,1463.0,0.1052
1302,403,Lingcod,green,1360.0,0.10515
1307,404,American lobster,green,1259.0,0.11075
1312,406,Lotus,green,475.0,0.06998
1317,407,Sacred lotus,green,348.5,0.04606
1323,408,White lupine,green,3969.25,0.1038
1329,409,Malabar spinach,green,419.75,0.11677
1335,413,Milkfish,green,1582.0,0.10519
1340,414,Monkfish,green,1116.0,0.10522
1347,417,Mountain yam,green,238.75,0.12142
1352,418,Striped mullet,green,1490.0,0.10514
1357,420,White mustard,green,1718.05,0.08844
1363,423,Nopal,green,59.0,0.10051
1368,424,Ocean pout,green,1282.0,0.1052
1373,427,Okra,green,638.0,0.21154
1378,432,Pacific herring,green,1262.0,0.10511
1383,433,Pacific oyster,green,907.0,0.10181
1388,434,Pacific rockfish,green,1457.0,0.10938
1393,436,Pepper (C. frutescens),green,192.35,0.0917
1398,437,Common persimmon,green,23.0,0.10698
1403,439,Northern pike,green,1483.0,0.10515
1408,440,Pili nut,green,381.0,0.12366
1413,441,Colorado pinyon,green,861.25,0.12967
1419,444,French plantain,green,114.0,0.11789
1424,447,Opium poppy,green,1432.75,0.10247
1429,448,Prairie turnip,green,189.9,0.19232
1436,450,Quinoa,green,350.0,0.07249
1441,453,Rainbow smelt,green,1358.0,0.10518
1446,454,Rainbow trout,green,3009.0,0.10513
1451,458,Orange roughy,green,1368.0,0.11587
1456,459,Sablefish,green,1629.0,0.10516
1461,460,Pink salmon,green,4738.0,0.10539
1466,461,Chum salmon,green,4100.0,0.11665
1471,462,Coho salmon,green,4704.0,0.10577
1476,463,Sockeye salmon,green,8160.0,0.1104
1481,464,Chinook salmon,green,3536.0,0.10404
1486,465,Atlantic salmon,green,3034.0,0.10716
1491,468,Sapodilla,green,14.0,0.10294
1496,469,Mamey sapote,green,49.0,0.11502
1501,470,Spanish mackerel,green,1447.0,0.10515
1506,471,Pacific sardine,green,625.0,0.11502
1511,472,Scallop,green,1730.0,0.09744
1516,473,Scup,green,1454.0,0.10516
1521,475,Steller sea lion,green,100.0,0.125
1526,476,Bearded seal,green,5313.0,0.08631
1531,478,Sea trout,green,1290.0,0.10519
1538,480,American shad,green,1305.0,0.10523
1543,481,Shark,green,1341.0,0.10577
1548,482,Sheefish,green,680.0,0.09007
1553,483,"Sheep (Mutton, Lamb)",green,5830.0,0.15026
1557,484,Sheepshead,green,1560.0,0.10514
1562,485,Hedge mustard,green,419.0,0.10512
1567,486,Skipjack tuna,green,1695.0,0.10519
1572,487,Snapper,green,1580.0,0.10519
1578,489,Spelt,green,377.0,0.08917
1583,490,Spirulina,green,2850.0,0.13516
1588,493,Strawberry guava,green,28.5,0.05864
1593,494,Greater sturgeon,green,2297.0,0.10518
1598,495,White sucker,green,1291.0,0.10518
1604,497,Pumpkinseed sunfish,green,1495.0,0.10522
1609,498,Swordfish,green,1465.0,0.10515
1614,499,Taro,green,1296.0,0.22603
1619,500,Teff,green,591.0,0.13432
1624,501,Tilefish,green,1418.0,0.10522
1629,504,"Salmonidae (Salmon, Trout)",green,7240.0,0.11686
1634,505,Turkey,green,1885.0,0.11979
1639,506,"Cattle (Beef, Veal)",green,759283.0,0.09874
1644,507,Walleye,green,1474.0,0.10514
1649,508,Alaska pollock,green,1245.0,0.10895
1655,511,Whelk,green,2277.0,0.10126
1660,514,Whitefish,green,4760.0,0.0979
1665,515,Whiting,green,1411.0,0.10519
1670,516,Wild rice,green,791.0,0.15093
1675,518,Winged bean,green,4385.25,0.1419
1680,519,Yam,green,196.0,0.12405
1685,520,Jicama,green,153.5,0.09918
1690,522,Yellowfin tuna,green,1732.0,0.10519
1695,523,Yellowtail amberjack,green,1783.0,0.10519
1700,525,Albacore tuna,green,3386.0,0.10517
1705,526,Gadus (Common cod),green,9560.0,0.13339
1710,527,Atlantic halibut,green,3440.0,0.14853
1715,530,Smelt,green,1570.0,0.09192
1720,531,"Clupeinae (Herring, Sardine, Sprat)",green,14060.0,0.1197
1725,532,Spiny lobster,green,1564.0,0.10499
1730,533,Snow crab,green,1405.0,0.105
1735,534,Black-eyed pea,green,2947.0,0.15686
1740,535,Deer,green,7387.0,0.10015
1745,536,Macadamia nut,green,1355.75,0.20933
1750,537,Percoidei (Bass and others),green,4367.0,0.10519
1755,538,Perciformes,green,1547.0,0.10523
1760,540,Rabbit,green,3792.0,0.1188
1763,541,Domestic goat,green,1466.0,0.19368
1768,544,"Bivalvia (Clam, Mussel, Oyster)",green,3765.0,0.11414
1773,545,Squid,green,1074.0,0.10205
1778,546,Shrimp,green,9274.0,0.11846
1783,547,Crayfish,green,2167.0,0.1051
1788,548,Flatfish,green,2407.0,0.11951
1793,549,Domestic pig,green,350975.0,0.10823
1798,552,Oriental wheat,green,506.0,0.08435
1803,553,Yardlong bean,green,2995.95,0.15697
1808,555,Quail,green,2907.0,0.12729
1813,557,Persian lime,green,5.779999999999999,0.051710000000000006
1818,558,Feijoa,green,13.0,0.0625
1823,561,Common mushroom,green,571.0,0.05887
1828,562,Shiitake,green,566.0,0.11853
1833,563,Purple laver,green,254.0,0.11853
1838,564,Wakame,green,49.0,0.06901
1843,565,Enokitake,green,140.0,0.16279
1848,567,Oyster mushroom,green,374.0,0.1315
1853,569,Maitake,green,70.0,0.13109
1858,571,Spot croaker,green,1426.0,0.10517
1863,575,Wheat,green,13060.1381923,0.08466
1869,577,Agave,green,9.0,0.07826
1874,580,Anchovy,green,980.0,0.12468
1879,587,Crab,green,4840.0,0.12259
1884,590,Anatidae,green,6980.0,0.12337
1889,591,Anguilliformes,green,2580.0,0.1157
1894,593,Garfish,green,1500.0,0.12
1899,597,Lemon sole,green,1860.0,0.12408
1904,598,Clawed lobster,green,4200.0,0.12238
1909,600,"Scombridae (Bonito, Mackerel, Tuna)",green,5240.0,0.129
1914,601,Marine mussel,green,4400.0,0.14226
1919,603,Norway lobster,green,1440.0,0.12287
1924,606,True oyster,green,290.0,0.10985
1929,608,Persimmon,green,38.0,0.11411
1934,610,"Pleuronectidae (Dab, Halibut, Plaice)",green,1220.0,0.10445
1939,618,True sole,green,660.0,0.10138
1944,619,Catfish,green,1850.0,0.10626
1949,621,Thunnus,green,10967.0,0.11754
1954,622,Walnut,green,490.0,0.11836
1959,624,"Columbidae (Dove, Pigeon)",green,1170.0,0.12581
1963,626,Grape wine,green,2.878733339,1e-05
1970,630,Liquor,green,396.0,0.00154
1976,631,Cheese,green,212889.0,0.16287
1981,632,Milk (Cow),green,318452.0,0.16622
1987,633,Eggs,green,51108.0,0.14149
1992,634,Yogurt,green,5888.0,0.1326
1998,638,Bean,green,1063.0,0.099
2002,640,Whisky,green,0.170757575,0.0
2008,641,Ice cream,green,2902.0,0.12968
2015,643,Honey,green,8.0,0.06244
2018,645,Vinegar,green,0.07665143,0.00038
2022,646,Rum,green,0.043000003,0.0
2034,654,Cake,green,7970.0,0.11313
2040,655,Pizza,green,13472.0,0.11552
2045,656,Ymer,green,1300.0,0.1603
2050,657,Other snack food,green,10402.0,0.11261
2055,659,Crisp bread,green,2848.0,0.08254
2060,660,Pastry,green,16982.0,0.10702
2066,663,Marzipan,green,640.0,0.10738
2071,664,Salad dressing,green,1420.0,0.1535
2076,665,Sauce,green,1155.0,0.12628
2081,667,Butter,green,207.0,0.1393
2086,669,Cream,green,3020.0,0.14128
2091,671,Sausage,green,46411.0,0.09371
2096,673,Mustard,green,360.0,0.11043
2101,674,Pate,green,2200.0,0.09588
2106,677,Meat bouillon,green,1016.0,0.02978
2111,679,Whey,green,3134.0,0.13043
2116,680,Casein,green,7000.0,0.15625
2121,681,Fruit preserve,green,25.0,0.15152
2126,682,Leavening agent,green,5415.0,0.09779
2131,683,Marshmallow,green,10.0,0.00992
2136,684,Gelatin,green,220.0,0.00227
2141,686,Other fish product,green,2877.0,0.11663
2146,687,Milk (Human),green,53.0,0.16159
2151,689,Other beverage,green,955.0,0.10946
2158,690,Baby food,green,12663.0,0.11578
2163,692,Soup,green,7918.0,0.09792
2168,693,Other vegetable product,green,893.0,0.0967
2173,694,Unclassified food or beverage,green,740.0,0.00761
2179,695,Syrup,green,310.0,0.09245
2185,696,Tallow,green,1750.0,0.12536
2191,701,Other candy,green,1457.0,0.09119
2197,704,Other animal fat,green,340.0,0.12057
