,source_id,food_id,flavor_name,food_name,orig_content,flavor_group,normalized
101,604,6,mercaptan,Garden onion,1.0101,chemical,0.0003
102,846,6,watercress,Garden onion,26.7692,fruity,0.0079
103,847,6,watery,Garden onion,1102.0,wine_like,0.3252
104,446,7,diphenyl oxide,Leek,58.0,green,0.07612
105,465,7,everlasting,Leek,150.0,floral,0.19685
106,474,7,feta cheese,Leek,110.0,milky,0.14436
107,484,7,foliage,Leek,112.0,floral,0.14698
108,556,7,ketone,Leek,220.0,chemical,0.28871
109,570,7,lemon peel,Leek,112.0,fruity,0.14698
110,446,8,diphenyl oxide,Garlic,1130.0,green,0.09205
111,465,8,everlasting,Garlic,3118.0,floral,0.254
112,474,8,feta cheese,Garlic,2051.0,milky,0.16708
113,484,8,foliage,Garlic,2225.0,floral,0.18125
114,556,8,ketone,Garlic,1577.0,chemical,0.12847
115,570,8,lemon peel,Garlic,2174.0,fruity,0.1771
116,604,8,mercaptan,Garlic,0.030100000000000002,chemical,0.0
117,633,8,neroli,Garlic,0.26,floral,2e-05
118,846,8,watercress,Garlic,0.3581,fruity,3e-05
119,446,9,diphenyl oxide,Chives,1385.75,green,0.11012
120,465,9,everlasting,Chives,2158.0,floral,0.17149
121,474,9,feta cheese,Chives,1351.0,milky,0.10736
122,484,9,foliage,Chives,2372.25,floral,0.18852
123,556,9,ketone,Chives,2215.5,chemical,0.17606
124,570,9,lemon peel,Chives,3049.75,fruity,0.24236
125,604,9,mercaptan,Chives,13.5,chemical,0.00107
126,633,9,neroli,Chives,38.060000005999996,floral,0.00302
127,446,11,diphenyl oxide,Cashew nut,5989.25,green,0.10808
128,465,11,everlasting,Cashew nut,12631.0,floral,0.22793
129,474,11,feta cheese,Cashew nut,8648.05,milky,0.15606
130,484,11,foliage,Cashew nut,10266.95,floral,0.18527
131,556,11,ketone,Cashew nut,9007.05,chemical,0.16253
132,570,11,lemon peel,Cashew nut,8873.95,fruity,0.16013
133,633,11,neroli,Cashew nut,0.18,floral,0.0
134,446,12,diphenyl oxide,Pineapple,174.35,green,0.12774
135,465,12,everlasting,Pineapple,172.2,floral,0.12616
136,474,12,feta cheese,Pineapple,253.9,milky,0.18602
137,484,12,foliage,Pineapple,191.2,floral,0.14008
138,556,12,ketone,Pineapple,230.45,chemical,0.16884
139,570,12,lemon peel,Pineapple,211.7,fruity,0.1551
140,753,12,sawen,Pineapple,6.0,wine_like,0.0044
141,787,12,styrene,Pineapple,125.1,wine_like,0.09166
142,446,13,diphenyl oxide,Dill,263.44,green,0.03932
143,465,13,everlasting,Dill,2753.87,floral,0.41106
144,474,13,feta cheese,Dill,2431.19,milky,0.3629
145,484,13,foliage,Dill,188.59,floral,0.02815
146,556,13,ketone,Dill,684.8475688,chemical,0.10223
147,567,13,leathery,Dill,0.38,animal,6e-05
148,570,13,lemon peel,Dill,248.0,fruity,0.03702
149,604,13,mercaptan,Dill,87.1229,chemical,0.013
150,633,13,neroli,Dill,39.996666667,floral,0.00597
151,846,13,watercress,Dill,1.973800024,fruity,0.00029
152,446,15,diphenyl oxide,Wild celery,148.75,green,0.07499
153,465,15,everlasting,Wild celery,446.0,floral,0.22484
154,474,15,feta cheese,Wild celery,404.5,milky,0.20392
155,484,15,foliage,Wild celery,344.0,floral,0.17342
156,556,15,ketone,Wild celery,371.25,chemical,0.18716
157,570,15,lemon peel,Wild celery,268.9,fruity,0.13556
158,633,15,neroli,Wild celery,0.22,floral,0.00011
159,446,16,diphenyl oxide,Peanut,29820.4,green,0.14773
160,465,16,everlasting,Peanut,33109.35,floral,0.16403
161,474,16,feta cheese,Peanut,23875.85,milky,0.11828
162,484,16,foliage,Peanut,46782.65,floral,0.23177
163,556,16,ketone,Peanut,31305.35,chemical,0.15509
164,570,16,lemon peel,Peanut,36953.1,fruity,0.18307
165,846,16,watercress,Peanut,4.3,fruity,2e-05
166,847,16,watery,Peanut,0.4,wine_like,0.0
167,882,16,brownsugar,Peanut,1.8,sweet,1e-05
168,446,17,diphenyl oxide,Burdock,120.0,green,0.07884
169,465,17,everlasting,Burdock,224.0,floral,0.14717
170,474,17,feta cheese,Burdock,452.0,milky,0.29698
